date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:11	180900/180900	---M-Z	200	added ('OK')	text/html	etag:W/%2249494b6f93e5751ee61185df4cf554ba%22	https://fr.y8.com/games/plume_and_the_forgotten_letter	C:/Mes%20Sites%20Web/caca/fr.y8.com/games/plume_and_the_forgotten_letter.html	(from )
20:19:12	221/221	---M-Z	200	added ('OK')	text/plain	etag:W/%2226ecbdeed4f59786f4c1cf80d24a515b%22	https://fr.y8.com/robots.txt		(from )
20:19:13	541/541	---M--	200	added ('OK')	image/png	etag:%221663012105%22	https://img-hws.y8.com/mobile_launch_icons/y8-192.png	C:/Mes%20Sites%20Web/caca/img-hws.y8.com/mobile_launch_icons/y8-192.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
20:19:13	23/23	---M-Z	200	added ('OK')	application/javascript	etag:%221659014514%22	https://img-hws.y8.com/assets/ads_block-bdb05adcd9e98c0e0b45359346e83554ef184373947e18de19e5e06b2fad4980.js	C:/Mes%20Sites%20Web/caca/img-hws.y8.com/assets/ads_block-bdb05adcd9e98c0e0b45359346e83554ef184373947e18de19e5e06b2fad4980.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
20:19:14	82278/82278	---M--	200	added ('OK')	text/javascript	etag:%221343%20/%20930%20of%201000%20/%20last-modified:%201663931308%22	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/Mes%20Sites%20Web/caca/securepubads.g.doubleclick.net/tag/js/gpt.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
20:19:14	279742/279742	---M-Z	200	added ('OK')	application/javascript	etag:%221659014514%22	https://img-hws.y8.com/assets/ads/gam_prebid-0d27de4cf6e44f80ebf9b8a11646c1d6762395d54ba17af39a52ae318abaa8e8.js	C:/Mes%20Sites%20Web/caca/img-hws.y8.com/assets/ads/gam_prebid-0d27de4cf6e44f80ebf9b8a11646c1d6762395d54ba17af39a52ae318abaa8e8.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
20:19:15	494100/494100	---M-Z	200	added ('OK')	application/javascript	etag:%221663750361%22	https://img-hws.y8.com/packs/js/y8/application-9b04b8190c31cb467b23.js	C:/Mes%20Sites%20Web/caca/img-hws.y8.com/packs/js/y8/application-9b04b8190c31cb467b23.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
20:19:15	1029/1029	---M-Z	200	added ('OK')	text/css	etag:%221663840133%22	https://img-hws.y8.com/packs/css/y8/application-4350128e.css	C:/Mes%20Sites%20Web/caca/img-hws.y8.com/packs/css/y8/application-4350128e.css	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
20:19:16	358844/358844	---M-Z	200	added ('OK')	text/css	etag:%221663596976%22	https://img-hws.y8.com/assets/y8.com/latin-c0ca1e6f54c76dcec62ecdcc23df3507f959f4232fd2ad43fdc84cf68386c14a.css	C:/Mes%20Sites%20Web/caca/img-hws.y8.com/assets/y8.com/latin-c0ca1e6f54c76dcec62ecdcc23df3507f959f4232fd2ad43fdc84cf68386c14a.css	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
20:19:16	80624/80624	---M-Z	200	added ('OK')	application/javascript	etag:%221662731359%22	https://img-hws.y8.com/assets/y8-28815cc6b0a65f6746cdbad4ea1a75c9a61f683204e04da1f72a2cabd8635533.js	C:/Mes%20Sites%20Web/caca/img-hws.y8.com/assets/y8-28815cc6b0a65f6746cdbad4ea1a75c9a61f683204e04da1f72a2cabd8635533.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
